time unit: s, fft_wrapper:inst|sink_sop, fft_wrapper:inst|sink_eop, CLOCK_50, fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11..0], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[10], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[9], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[8], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[7], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[6], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[5], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[4], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[3], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[2], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[1], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[0], fft_wrapper:inst|fft:fft_inst|source_sop, fft_wrapper:inst|fft:fft_inst|source_eop, fft_wrapper:inst|real_power[17..0], fft_wrapper:inst|real_power[17], fft_wrapper:inst|real_power[16], fft_wrapper:inst|real_power[15], fft_wrapper:inst|real_power[14], fft_wrapper:inst|real_power[13], fft_wrapper:inst|real_power[12], fft_wrapper:inst|real_power[11], fft_wrapper:inst|real_power[10], fft_wrapper:inst|real_power[9], fft_wrapper:inst|real_power[8], fft_wrapper:inst|real_power[7], fft_wrapper:inst|real_power[6], fft_wrapper:inst|real_power[5], fft_wrapper:inst|real_power[4], fft_wrapper:inst|real_power[3], fft_wrapper:inst|real_power[2], fft_wrapper:inst|real_power[1], fft_wrapper:inst|real_power[0], fft_wrapper:inst|imag_power[17..0], fft_wrapper:inst|imag_power[17], fft_wrapper:inst|imag_power[16], fft_wrapper:inst|imag_power[15], fft_wrapper:inst|imag_power[14], fft_wrapper:inst|imag_power[13], fft_wrapper:inst|imag_power[12], fft_wrapper:inst|imag_power[11], fft_wrapper:inst|imag_power[10], fft_wrapper:inst|imag_power[9], fft_wrapper:inst|imag_power[8], fft_wrapper:inst|imag_power[7], fft_wrapper:inst|imag_power[6], fft_wrapper:inst|imag_power[5], fft_wrapper:inst|imag_power[4], fft_wrapper:inst|imag_power[3], fft_wrapper:inst|imag_power[2], fft_wrapper:inst|imag_power[1], fft_wrapper:inst|imag_power[0], 
0, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
61,0,0,1,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-221,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1, 
62,0,0,1,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,142,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,-69,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1, 
63,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,148,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0, 
64,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-86,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1, 
65,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-189,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,-89,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1, 
66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-129,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1, 
67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1, 
68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,176,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0, 
69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-205,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1, 
70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,-218,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0, 
71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,-31,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1, 
72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,242,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0, 
73,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-152,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0, 
74,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-86,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,-161,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1, 
75,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,150,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,-49,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1, 
76,0,0,1,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,148,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,82,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0, 
77,0,0,1,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-111,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,113,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1, 
78,0,0,1,110,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-139,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,-24,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0, 
79,0,0,1,111,0,0,0,0,0,0,0,0,0,1,1,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,-200,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0, 
80,0,0,1,1001,0,0,0,0,0,0,0,0,1,0,0,1,0,0,157,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,-38,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0, 
81,0,0,1,1010,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,218,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0, 
82,0,0,1,1100,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-189,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0, 
83,0,0,1,1110,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-83,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,-225,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1, 
84,0,0,1,10000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,-20,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0, 
85,0,0,1,10011,0,0,0,0,0,0,0,1,0,0,1,1,0,0,126,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,169,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1, 
86,0,0,1,10101,0,0,0,0,0,0,0,1,0,1,0,1,0,0,-179,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1, 
87,0,0,1,11000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-105,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,-81,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1, 
88,0,0,1,11011,0,0,0,0,0,0,0,1,1,0,1,1,0,0,132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-99,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1, 
89,0,0,1,11101,0,0,0,0,0,0,0,1,1,1,0,1,0,0,135,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,48,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0, 
90,0,0,1,100001,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-37,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,183,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1, 
91,0,0,1,100100,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-122,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0, 
92,0,0,1,100111,0,0,0,0,0,0,1,0,0,1,1,1,0,0,-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,-224,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0, 
93,0,0,1,101011,0,0,0,0,0,0,1,0,1,0,1,1,0,0,200,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-23,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1, 
94,0,0,1,101110,0,0,0,0,0,0,1,0,1,1,1,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,191,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1, 
95,0,0,1,110010,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-214,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, 
96,0,0,1,110110,0,0,0,0,0,0,1,1,0,1,1,0,0,0,-93,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,-181,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1, 
97,0,0,1,111010,0,0,0,0,0,0,1,1,1,0,1,0,0,0,183,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,-72,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0, 
98,0,0,1,111110,0,0,0,0,0,0,1,1,1,1,1,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,113,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1, 
99,0,0,1,1000011,0,0,0,0,0,1,0,0,0,0,1,1,0,0,-157,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,126,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0, 
100,0,0,1,1000111,0,0,0,0,0,1,0,0,0,1,1,1,0,0,-99,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,-67,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1, 
101,0,0,1,1001100,0,0,0,0,0,1,0,0,1,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-130,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0, 
102,0,0,1,1010000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0, 
103,0,0,1,1010101,0,0,0,0,0,1,0,1,0,1,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,200,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0, 
104,0,0,1,1011010,0,0,0,0,0,1,0,1,1,0,1,0,0,0,-176,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
105,0,0,1,1100000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-40,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,-188,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0, 
106,0,0,1,1100101,0,0,0,0,0,1,1,0,0,1,0,1,0,0,244,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,-32,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0, 
107,0,0,1,1101010,0,0,0,0,0,1,1,0,1,0,1,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,159,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1, 
108,0,0,1,1110000,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-206,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0, 
109,0,0,1,1110110,0,0,0,0,0,1,1,1,0,1,1,0,0,0,-53,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,-158,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0, 
110,0,0,1,1111011,0,0,0,0,0,1,1,1,1,0,1,1,0,0,147,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,-136,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0, 
111,0,0,1,10000001,0,0,0,0,1,0,0,0,0,0,0,1,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,103,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1, 
112,0,0,1,10001000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-73,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0, 
113,0,0,1,10001110,0,0,0,0,1,0,0,0,1,1,1,0,0,0,-153,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,-76,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0, 
114,0,0,1,10010100,0,0,0,0,1,0,0,1,0,1,0,0,0,0,-29,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,-149,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1, 
115,0,0,1,10011011,0,0,0,0,1,0,0,1,1,0,1,1,0,0,180,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0, 
116,0,0,1,10100001,0,0,0,0,1,0,1,0,0,0,0,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,173,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1, 
117,0,0,1,10101000,0,0,0,0,1,0,1,0,1,0,0,0,0,0,-214,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0, 
118,0,0,1,10101111,0,0,0,0,1,0,1,0,1,1,1,1,0,0,-36,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,-157,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1, 
119,0,0,1,10110110,0,0,0,0,1,0,1,1,0,1,1,0,0,0,221,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,-85,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1, 
120,0,0,1,10111101,0,0,0,0,1,0,1,1,1,1,0,1,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,183,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1, 
121,0,0,1,11000100,0,0,0,0,1,1,0,0,0,1,0,0,0,0,-147,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,127,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1, 
122,0,0,1,11001100,0,0,0,0,1,1,0,0,1,1,0,0,0,0,-61,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,-168,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0, 
123,0,0,1,11010011,0,0,0,0,1,1,0,1,0,0,1,1,0,0,83,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,-128,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, 
124,0,0,1,11011011,0,0,0,0,1,1,0,1,1,0,1,1,0,0,137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,87,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1, 
125,0,0,1,11100010,0,0,0,0,1,1,1,0,0,0,1,0,0,0,-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,103,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1, 
126,0,0,1,11101010,0,0,0,0,1,1,1,0,1,0,1,0,0,0,-196,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,-34,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0, 
127,0,0,1,11110010,0,0,0,0,1,1,1,1,0,0,1,0,0,0,-25,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,-154,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0, 
128,0,0,1,11111010,0,0,0,0,1,1,1,1,1,0,1,0,0,0,197,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,-60,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0, 
129,0,0,1,100000011,0,0,0,1,0,0,0,0,0,0,1,1,0,0,-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,202,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0, 
130,0,0,1,100001011,0,0,0,1,0,0,0,0,1,0,1,1,0,0,-209,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,105,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1, 
131,0,0,1,100010011,0,0,0,1,0,0,0,1,0,0,1,1,0,0,-55,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,-193,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1, 
132,0,0,1,100011100,0,0,0,1,0,0,0,1,1,1,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,-86,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0, 
133,0,0,1,100100100,0,0,0,1,0,0,1,0,0,1,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,178,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0, 
134,0,0,1,100101101,0,0,0,1,0,0,1,0,1,1,0,1,0,0,-87,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0, 
135,0,0,1,100110110,0,0,0,1,0,0,1,1,0,1,1,0,0,0,-126,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,-114,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0, 
136,0,0,1,100111111,0,0,0,1,0,0,1,1,1,1,1,1,0,0,75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,-98,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0, 
137,0,0,1,101001000,0,0,0,1,0,1,0,0,1,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0, 
138,0,0,1,101010001,0,0,0,1,0,1,0,1,0,0,0,1,0,0,-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,125,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1, 
139,0,0,1,101011010,0,0,0,1,0,1,0,1,1,0,1,0,0,0,-181,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1, 
140,0,0,1,101100100,0,0,0,1,0,1,1,0,0,1,0,0,0,0,-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-209,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1, 
141,0,0,1,101101101,0,0,0,1,0,1,1,0,1,1,0,1,0,0,159,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,-89,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1, 
142,0,0,1,101110111,0,0,0,1,0,1,1,1,0,1,1,1,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1, 
143,0,0,1,110000000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-173,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1, 
144,0,0,1,110001010,0,0,0,1,1,0,0,0,1,0,1,0,0,0,-124,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,-199,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1, 
145,0,0,1,110010100,0,0,0,1,1,0,0,1,0,1,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-73,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1, 
146,0,0,1,110011110,0,0,0,1,1,0,0,1,1,1,1,0,0,0,130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1, 
147,0,0,1,110101000,0,0,0,1,1,0,1,0,1,0,0,0,0,0,-106,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,106,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0, 
148,0,0,1,110110010,0,0,0,1,1,0,1,1,0,0,1,0,0,0,-147,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0, 
149,0,0,1,110111100,0,0,0,1,1,0,1,1,1,1,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,-129,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1, 
150,0,0,1,111000110,0,0,0,1,1,1,0,0,0,1,1,0,0,0,167,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,-32,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0, 
151,0,0,1,111010001,0,0,0,1,1,1,0,1,0,0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,197,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1, 
152,0,0,1,111011011,0,0,0,1,1,1,0,1,1,0,1,1,0,0,-142,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,56,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0, 
153,0,0,1,111100101,0,0,0,1,1,1,1,0,0,1,0,1,0,0,-57,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,-242,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0, 
154,0,0,1,111110000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,-77,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1, 
155,0,0,1,111111011,0,0,0,1,1,1,1,1,1,0,1,1,0,0,119,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,181,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1, 
156,0,0,1,1000000101,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-177,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,51,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1, 
157,0,0,1,1000010000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-156,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,-124,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0, 
158,0,0,1,1000011011,0,0,1,0,0,0,0,1,1,0,1,1,0,0,127,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-101,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1, 
159,0,0,1,1000100110,0,0,1,0,0,0,1,0,0,1,1,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0, 
160,0,0,1,1000110001,0,0,1,0,0,0,1,1,0,0,0,1,0,0,-93,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,156,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0, 
161,0,0,1,1000111100,0,0,1,0,0,0,1,1,1,1,0,0,0,0,-148,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0, 
162,0,0,1,1001000111,0,0,1,0,0,1,0,0,0,1,1,1,0,0,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,-180,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0, 
163,0,0,1,1001010010,0,0,1,0,0,1,0,1,0,0,1,0,0,0,152,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0, 
164,0,0,1,1001011110,0,0,1,0,0,1,0,1,1,1,1,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,219,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1, 
165,0,0,1,1001101001,0,0,1,0,0,1,1,0,1,0,0,1,0,0,-147,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1, 
166,0,0,1,1001110100,0,0,1,0,0,1,1,1,0,1,0,0,0,0,-106,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,-183,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1, 
